Run ID,Wrapper Tier,Source Database,Data Extracted,Status,Error Rate (%),Notes/Error Details
RUN_284,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_285,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_286,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_287,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_288,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_289,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.67,Minor parsing artifact / formatting mismatch
RUN_290,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_291,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_292,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_293,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.35,Minor parsing artifact / formatting mismatch
RUN_294,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.42,Minor parsing artifact / formatting mismatch
RUN_295,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.97,Minor parsing artifact / formatting mismatch
RUN_296,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_297,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_298,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_299,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_300,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
